# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1819
#@/user_id	brainocean_macos
a 	啊	c=2 d=0.118374 t=1818
hai bu tai qing chu 	還不太清楚	c=1 d=0.000232877 t=1818
hai bu xu yao 	還不需要	c=1 d=0.26982 t=1818
hai mei 	還沒	c=0 d=2.44817e-05 t=1818
hai shang xue 	還上學	c=1 d=0.0389686 t=1818
hai shi 	還是	c=3 d=0.265206 t=1818
hai shi yi lou 	還是一樓	c=1 d=0.802519 t=1818
hai zi 	孩子	c=1 d=0.837728 t=1818
han 	喊	c=0 d=9.58635e-05 t=1818
han 	韓	c=0 d=0.000891518 t=1818
han guo 	喊過	c=0 d=0.000522135 t=1818
han guo le 	喊過了	c=1 d=0.00524752 t=1818
han kou ling 	喊口令	c=0 d=0.000530026 t=1818
han kou ling zhi qian 	喊口令之前	c=1 d=0.00532682 t=1818
han si qi 	韓思齊	c=7 d=0.297543 t=1818
han wo yi sheng 	喊我一聲	c=1 d=0.00096344 t=1818
hao 	好	c=2 d=0.0872159 t=1818
hao 	號	c=2 d=1.06035 t=1818
hao de 	好的	c=4 d=0.0992028 t=1818
hao le 	好了	c=1 d=0.767206 t=1818
hao xiang 	好像	c=1 d=0.0505248 t=1818
hao xiang bu xing 	好像不行	c=1 d=0.494109 t=1818
hao xie 	好些	c=1 d=0.122456 t=1818
he 	和	c=26 d=2.01525 t=1818
he 	鶴	c=0 d=2.52273e-05 t=1818
he bing 	合併	c=1 d=0.0244775 t=1818
he li 	合力	c=0 d=1.59256e-05 t=1818
he li cha che 	合力叉車	c=2 d=0.00032091 t=1818
he nan 	河南	c=0 d=0.0280832 t=1818
he ni men 	和你們	c=1 d=0.000542133 t=1818
he shi 	合適	c=0 d=1.9258e-05 t=1818
he ta 	和他	c=1 d=0.00194013 t=1818
he wo 	和我	c=1 d=0.244143 t=1818
he wo de 	和我的	c=1 d=0.00767337 t=1818
he zuo 	合作	c=2 d=0.000526743 t=1818
hong xia 	紅霞	c=0 d=4.68957e-05 t=1818
hou 	後	c=0 d=0.000186536 t=1818
hou duan 	後端	c=1 d=0.000126534 t=1818
hou lai 	後來	c=0 d=0.0145148 t=1818
hou tai 	後臺	c=1 d=0.000464291 t=1818
hou xuan ren 	候選人	c=1 d=0.00222978 t=1818
hou xuan ren ma 	候選人嗎	c=1 d=0.00191125 t=1818
hu du 	弧度	c=1 d=0.179066 t=1818
hu lian 	互聯	c=1 d=0.0190631 t=1818
hua 	話	c=2 d=0.0159771 t=1818
hua ju 	話劇	c=0 d=2.08619e-05 t=1818
hua ju ju ben 	話劇劇本	c=1 d=0.000209665 t=1818
hua tuo 	華佗	c=1 d=0.0239649 t=1818
hua tuo hua tuo 	華佗華佗	c=1 d=0.0237541 t=1818
huai yi 	懷疑	c=1 d=0.00562801 t=1818
huan cheng 	幻城	c=1 d=0.286505 t=1818
huan ge 	換個	c=0 d=0.000927901 t=1818
huan ge ban zi 	換個板子	c=1 d=0.00932553 t=1818
huan guo 	換過	c=0 d=0.000472447 t=1818
huan guo le 	換過了	c=2 d=0.0164267 t=1818
huan jing 	環境	c=2 d=0.000859968 t=1818
huan yi ge 	換一個	c=1 d=0.00915679 t=1818
huan yi ge huo 	換一個貨	c=1 d=0.00806679 t=1818
huang se 	黃色	c=1 d=0.0186856 t=1818
hui 	回	c=1 d=0.189191 t=1818
hui 	會	c=4 d=0.078512 t=1818
hui 	輝	c=1 d=0.818731 t=1818
hui bu hui 	會不會	c=1 d=0.00419023 t=1818
hui bu shu zai 	會部署在	c=1 d=0.000115067 t=1818
hui le 	回了	c=1 d=0.0977834 t=1818
hui qu 	回去	c=0 d=0.000292342 t=1818
hui shou 	揮手	c=1 d=0.024234 t=1818
hui tou 	回頭	c=0 d=0.050409 t=1818
hui xin 	回信	c=0 d=0.00773047 t=1818
hui xin li mian 	回信裏面	c=1 d=0.0776922 t=1818
hui yi 	會議	c=2 d=0.544983 t=1818
hui yi shi 	會議室	c=1 d=0.0023461 t=1818
huo 	貨	c=0 d=0.00157384 t=1818
huo dong 	活動	c=0 d=0.0418952 t=1818
huo dong ping tai 	活動平臺	c=1 d=0.421052 t=1818
huo zhe 	或者	c=3 d=0.682293 t=1818
ji 	姬	c=1 d=0.814647 t=1818
ji 	機	c=1 d=0.000978001 t=1818
ji ben 	基本	c=0 d=0.0104874 t=1818
ji ben shang 	基本上	c=1 d=0.00117675 t=1818
ji cheng 	集成	c=1 d=0.0001441 t=1818
ji ge 	幾個	c=0 d=0.000139481 t=1818
ji hua 	計畫	c=1 d=0.0444105 t=1818
ji hua wai 	計劃外	c=1 d=0.0968105 t=1818
ji hui 	機會	c=0 d=0.000247875 t=1818
ji ji can jia 	積極參加	c=1 d=0.366045 t=1818
ji qi 	機器	c=0 d=6.55574e-05 t=1818
ji qi shang 	機器上	c=1 d=0.00065886 t=1818
ji shu 	技術	c=5 d=0.00184256 t=1818
ji suan 	計算	c=1 d=0.588605 t=1818
ji suan ji 	計算機	c=2 d=0.756754 t=1818
ji tian 	幾天	c=0 d=0.0135769 t=1818
ji tian jia 	幾天假	c=1 d=0.0689068 t=1818
ji xu 	繼續	c=2 d=0.657559 t=1818
ji yi 	記憶	c=0 d=0.0918512 t=1818
jia 	假	c=1 d=0.0747373 t=1818
jia 	加	c=0 d=0.00164459 t=1818
jia bu shang 	加不上	c=1 d=0.0104621 t=1818
jia ding 	假定	c=1 d=0.000149981 t=1818
jia gou 	架構	c=1 d=0.106992 t=1818
jia kuai 	加快	c=0 d=0.0965605 t=1818
jia kuai su du 	加快速度	c=1 d=0.970446 t=1818
jia le yi ge 	加了一個	c=1 d=0.00606634 t=1818
jia nian hua 	嘉年華	c=4 d=0.225239 t=1818
jia shen 	加深	c=1 d=0.000411789 t=1818
jia yong 	家用	c=4 d=0.170322 t=1818
jia yong xiao du xiang 	家用消毒箱	c=2 d=0.107634 t=1818
jia you 	加油	c=1 d=0.0735345 t=1818
jian dan 	簡單	c=1 d=0.000850233 t=1818
jian jie 	簡介	c=1 d=0.329559 t=1818
jian rong 	兼容	c=0 d=0.000267181 t=1818
jian yi 	建議	c=1 d=0.138177 t=1818
jiang 	講	c=1 d=0.245367 t=1818
jiang lai 	將來	c=0 d=0.000111936 t=1818
jiao ben 	腳本	c=4 d=0.00360917 t=1818
jiao cheng 	教程	c=0 d=0.000400585 t=1818
jiao cheng li mian 	教程裏面	c=1 d=0.00402593 t=1818
jiao du 	角度	c=2 d=0.180104 t=1818
jie chu 	接觸	c=0 d=0.00159229 t=1818
jie fu 	姐夫	c=1 d=0.410656 t=1818
jie gou 	結構	c=1 d=0.955997 t=1818
jie gou tu 	結構圖	c=0 d=0.0018043 t=1818
jie jue 	解決	c=1 d=0.000728737 t=1818
jie jue ban fa 	解決辦法	c=1 d=0.0263839 t=1818
jie jue fang an 	解決方案	c=2 d=0.0333949 t=1818
jie jue wen ti 	解決問題	c=1 d=0.00179994 t=1818
jie jue yi 	解決一	c=1 d=0.00346515 t=1818
jie mian 	介面	c=1 d=0.000319102 t=1818
jie shao 	介紹	c=7 d=0.752591 t=1818
jie tong 	接通	c=0 d=0.000631391 t=1818
jie tong dian yuan 	接通電源	c=1 d=0.00634556 t=1818
jie tu 	截圖	c=2 d=0.687757 t=1818
jie wo 	借我	c=1 d=0.0131019 t=1818
jie xia lai 	接下來	c=2 d=0.394581 t=1818
jie xian 	接線	c=1 d=0.0195457 t=1818
jie zhi shi jian 	截止時間	c=1 d=0.349938 t=1818
jin liang 	儘量	c=1 d=0.273912 t=1818
jin mi 	緊密	c=0 d=0.000123708 t=1818
jin tian 	今天	c=7 d=0.305651 t=1818
jin tian zheng ge xia wu dou yao 	今天整個下午都要	c=1 d=0.238115 t=1818
jin xing 	進行	c=2 d=0.00135827 t=1818
jing li 	經理	c=2 d=0.00204767 t=1818
jing sai 	競賽	c=1 d=0.424578 t=1818
jing xi 	精細	c=0 d=0.0937067 t=1818
jing xi 	驚喜	c=1 d=0.0944767 t=1818
jing xi bian ma 	精細編碼	c=1 d=0.941765 t=1818
jing xi bian ma 	驚喜編碼	c=1 d=0.937067 t=1818
jiu 	就	c=2 d=0.212412 t=1818
jiu bian cheng 	就變成	c=1 d=0.054204 t=1818
jiu hao 	就好	c=1 d=0.000845993 t=1818
jiu hao le 	就好了	c=3 d=0.965672 t=1818
jiu ke yi le 	就可以了	c=1 d=0.000197455 t=1818
jiu xian 	就先	c=0 d=0.000169512 t=1818
jiu xian zuo wan 	就先做完	c=1 d=0.00170362 t=1818
jiu xing 	就行	c=1 d=0.748264 t=1818
jiu yong 	就用	c=1 d=0.0106734 t=1818
jiu zhe liang tian 	就這兩天	c=1 d=0.0110536 t=1818
jiu zhe yang ba 	就這樣吧	c=1 d=0.0365162 t=1818
jiu zhe yang le ha 	就這樣了哈	c=1 d=0.034562 t=1818
ju ben 	劇本	c=2 d=0.000484526 t=1818
ju lie 	劇烈	c=1 d=0.000325548 t=1818
ju ti 	具體	c=2 d=0.341441 t=1818
ju zhen 	矩陣	c=2 d=1.18317 t=1818
jue ding le 	決定了	c=1 d=0.164474 t=1818
jue se 	角色	c=1 d=0.00140452 t=1818
kai fa 	開發	c=1 d=0.00274299 t=1818
kai hui 	開會	c=3 d=0.175398 t=1818
kai men 	開門	c=1 d=0.557886 t=1818
kai men ma 	開門嗎	c=1 d=0.540641 t=1818
kai shi 	開始	c=0 d=0.00237541 t=1818
