# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
bai du wang pan 	百度網盤	c=2 d=0.0564161 t=15065
bai ren 	百人	c=0 d=5.27472e-06 t=15065
bai ren zuo you 	百人左右	c=1 d=5.30116e-05 t=15065
bai ri 	白日	c=1 d=0.00474815 t=15065
bai tuo 	拜託	c=1 d=3.35977e-22 t=15065
ban 	半	c=1 d=6.51506e-19 t=15065
ban 	搬	c=0 d=0.000289433 t=15065
ban 	版	c=1 d=0.000138785 t=15065
ban 	班	c=2 d=0.00174224 t=15065
ban 	般	c=1 d=0.000104117 t=15065
ban ben 	版本	c=2 d=0.103758 t=15065
ban ben hao 	版本號	c=1 d=0.00278085 t=15065
ban bian tian 	半邊天	c=0 d=0.1 t=5624
ban dao 	搬到	c=2 d=0.00143357 t=15065
ban dao wu lou 	搬到五樓	c=1 d=0.00285124 t=15065
ban fa 	辦法	c=3 d=0.0779541 t=15065
ban gong shi 	辦公室	c=1 d=0.0699482 t=15065
ban gong shi ma 	辦公室嗎	c=1 d=1.88831e-08 t=15065
ban ji 	班級	c=1 d=2.96146e-08 t=15065
ban jia 	搬家	c=1 d=1.08251e-21 t=15065
ban jiao 	半角	c=1 d=6.54772e-19 t=15065
ban tian 	半天	c=1 d=8.01947e-22 t=15065
ban wan 	辦完	c=0 d=0.00381969 t=15065
ban xiao shi 	半小時	c=3 d=0.203818 t=15065
ban xiao shi zhi hou 	半小時之後	c=1 d=0.000769323 t=15065
ban xue 	辦學	c=0 d=0.1 t=5728
ban xue li nian 	辦學理念	c=1 d=1 t=5729
ban yan 	扮演	c=1 d=0.644036 t=15065
ban yuan 	半圓	c=0 d=0.1 t=5634
ban yue 	半月	c=0 d=4.35146e-07 t=15065
ban zi 	板子	c=2 d=0.0174698 t=15065
bang 	幫	c=1 d=0.0865022 t=15065
bang bang 	幫幫	c=1 d=3.8707e-11 t=15065
bang ding 	綁定	c=2 d=0.249374 t=15065
bang ding dao 	綁定到	c=1 d=0.161218 t=15065
bang mang 	幫忙	c=2 d=0.00265848 t=15065
bang mang de 	幫忙的	c=1 d=8.64406e-22 t=15065
bang mang ma 	幫忙嗎	c=1 d=0.00120052 t=15065
bang ni 	幫你	c=3 d=0.122494 t=15065
bang ni wen wen 	幫你問問	c=1 d=0.509156 t=15065
bang wo 	幫我	c=9 d=0.252448 t=15065
bang wo jia le 	幫我加了	c=1 d=0.0340475 t=15065
bang wo men 	幫我們	c=1 d=0.869358 t=15065
bang yang 	榜樣	c=0 d=0.00338776 t=15065
bang zhe 	幫着	c=1 d=4.08816e-07 t=15065
bang zhu 	幫助	c=8 d=0.123749 t=15065
bang zhu bu da 	幫助不大	c=1 d=1 t=5769
bang zhu le ni 	幫助了你	c=1 d=4.61018e-09 t=15065
bang zhu ni 	幫助你	c=1 d=1.39889e-08 t=15065
bang zhu wen dang 	幫助文檔	c=1 d=4.31403e-22 t=15065
bang zhu wo men 	幫助我們	c=1 d=3.29324e-22 t=15065
bao 	包	c=2 d=6.6836e-19 t=15065
bao 	報	c=0 d=0.00108347 t=15065
bao 	寶	c=0 d=0.000408677 t=15065
bao biao 	報表	c=7 d=0.00349997 t=15065
bao biao wen jian 	報表文件	c=2 d=0.056355 t=15065
bao chi 	保持	c=3 d=0.424922 t=15065
bao chi dong ji 	保持動機	c=1 d=0.0797469 t=15065
bao chi dong ji ye xu shi 	保持動機也許是	c=1 d=0.228779 t=15065
bao chi jian kang 	保持健康	c=1 d=0.25924 t=15065
bao chi man yi 	保持滿意	c=1 d=2.26579e-05 t=15065
bao diao 	報掉	c=1 d=0.000531398 t=15065
bao gao 	報告	c=3 d=4.36783e-05 t=15065
bao han 	包含	c=2 d=0.0590129 t=15065
bao jia 	報價	c=0 d=2.98299e-06 t=15065
bao jia dan 	報價單	c=2 d=0.108777 t=15065
bao jia dan xin xi 	報價單信息	c=1 d=1 t=5387
bao jia shen qing 	報價申請	c=1 d=2.99794e-05 t=15065
bao jiang 	報獎	c=3 d=0.000761668 t=15065
bao jing 	報警	c=1 d=4.14487e-22 t=15065
bao kuo 	包括	c=5 d=0.0555762 t=15065
bao kuo bei jing 	包括背景	c=1 d=7.33822e-07 t=15065
bao kuo ge zhong 	包括各種	c=1 d=4.6437e-06 t=15065
bao ming 	報名	c=8 d=0.130574 t=15065
bao ming can jia 	報名參加	c=1 d=1.51303e-19 t=15065
bao ming de ji lie cheng du 	報名的激烈程度	c=1 d=1 t=5790
bao qian 	抱歉	c=1 d=9.25821e-06 t=15065
bao shang qu 	報上去	c=1 d=2.31472e-21 t=15065
bao shang qu ba 	報上去吧	c=1 d=0.010889 t=15065
bao shou 	保守	c=1 d=2.49457e-19 t=15065
bao xian 	保險	c=1 d=0.00695994 t=15065
bao xian dai li ren 	保險代理人	c=1 d=0.0699482 t=15065
bao xiao 	報銷	c=3 d=7.8255e-18 t=15065
bao zheng 	保證	c=1 d=0.745443 t=15065
bao zheng wan cheng ren wu 	保證完成任務	c=1 d=7.14585e-18 t=15065
bao zhong 	保重	c=0 d=4.76044e-05 t=15065
bei 	唄	c=3 d=0.535261 t=15065
bei 	被	c=12 d=0.197254 t=15065
bei 	貝	c=0 d=0.0151072 t=15065
bei an 	備案	c=1 d=5.81541e-06 t=15065
bei bu huo 	被捕獲	c=1 d=2.97579e-06 t=15065
bei dong 	被動	c=1 d=7.07114e-12 t=15065
bei fen 	備份	c=0 d=4.31403e-23 t=15065
bei guan zhu 	被關注	c=1 d=0.45612 t=15065
bei jing 	北京	c=0 d=9.97928e-07 t=15065
bei jing 	背景	c=1 d=0.0180709 t=15065
bei jing jie shao 	背景介紹	c=2 d=1.99501 t=5058
bei jing shuo ming 	背景說明	c=1 d=1.80025e-05 t=15065
bei jing zhi shi 	背景知識	c=1 d=1.86178e-18 t=15065
bei kan jian 	被看見	c=1 d=3.09345e-21 t=15065
bei lu 	北路	c=0 d=3.76731e-17 t=15065
bei qu diao 	被去掉	c=1 d=0.554327 t=15065
bei sai er 	貝賽爾	c=1 d=0.15259 t=15065
bei shu 	倍數	c=2 d=3.78465e-07 t=15065
bei shu de 	倍數的	c=1 d=1.90236e-07 t=15065
bei ye si qu xian 	貝葉斯曲線	c=1 d=0.151829 t=15065
bei zhu 	備註	c=1 d=0.004573 t=15065
ben 	本	c=2 d=3.03731e-16 t=15065
ben chi 	奔馳	c=2 d=0.00150259 t=15065
ben ji 	本機	c=1 d=3.48667e-17 t=15065
ben qu 	本區	c=2 d=7.49535e-12 t=15065
ben ren 	本人	c=0 d=0.000194986 t=15065
ben shen 	本身	c=4 d=0.99005 t=15065
bi 	比	c=2 d=0.0491644 t=15065
bi 	筆	c=1 d=0.000117391 t=15065
bi bei 	必備	c=0 d=6.8975e-07 t=15065
bi bu ke shao 	必不可少	c=0 d=0.0126186 t=15065
bi bu ke shao de 	必不可少的	c=1 d=0.126818 t=15065
bi gan 	筆桿	c=0 d=1.45124e-05 t=15065
bi gan hou duan 	筆桿後端	c=1 d=4.63171e-05 t=15065
bi gan wei duan 	筆桿尾端	c=1 d=9.95351e-05 t=15065
bi hua 	筆畫	c=1 d=8.23115e-05 t=15065
bi ji 	筆記	c=2 d=3.60906e-11 t=15065
bi jian 	筆尖	c=4 d=0.000199393 t=15065
bi jian li kai zhi mian 	筆尖離開紙面	c=1 d=6.73909e-05 t=15065
bi jian you ce 	筆尖右側	c=1 d=5.40825e-05 t=15065
bi jiao 	比較	c=8 d=0.358796 t=15065
bi jiao biao 	比較表	c=1 d=1 t=5280
bi jiao da 	比較大	c=3 d=0.0590129 t=15065
bi jiao da de xiang mu 	比較大的項目	c=1 d=0.0333733 t=15065
bi jiao da xiao 	比較大小	c=1 d=6.96705e-14 t=15065
bi jiao di 	比較低	c=0 d=5.62896e-06 t=15065
bi jiao duo 	比較多	c=3 d=0.0108609 t=15065
bi jiao duo de 	比較多的	c=1 d=0.0343896 t=15065
bi jiao duo de shi hou 	比較多的時候	c=1 d=1.30725e-05 t=15065
bi jiao hao 	比較好	c=1 d=3.02807e-05 t=15065
bi jiao jin 	比較緊	c=1 d=1.91913e-22 t=15065
bi jiao ju ti 	比較具體	c=1 d=0.00144449 t=15065
bi jiao shao 	比較少	c=1 d=0.371577 t=15065
bi jiao tong yong 	比較通用	c=1 d=0.00152616 t=15065
bi jiao wan zheng le 	比較完整了	c=1 d=7.88932e-06 t=15065
bi jiao xi zhi 	比較細緻	c=1 d=2.86602e-05 t=15065
bi jing 	畢竟	c=2 d=0.00114769 t=15065
bi kai 	避開	c=0 d=5.74268e-06 t=15065
bi li 	比例	c=2 d=0.000185029 t=15065
bi lv 	比率	c=1 d=1 t=5828
bi mian 	避免	c=3 d=0.147502 t=15065
bi qian 	筆錢	c=0 d=5.48141e-17 t=15065
bi ru 	比如	c=4 d=0.00553285 t=15065
bi ru shuo 	比如說	c=1 d=1 t=5560
bi ru tong guo 	比如通過	c=1 d=3.17835e-16 t=15065
bi ru yuan cheng 	比如遠程	c=1 d=0.0280154 t=15065
bi suan 	筆算	c=3 d=0.196912 t=15065
bi xu 	必須	c=3 d=0.21225 t=15065
bi xu can jia 	必須參加	c=1 d=2.73991e-05 t=15065
bi yan 	閉眼	c=3 d=0.0156883 t=15065
bi yan ti hui 	閉眼體會	c=1 d=0.000119165 t=15065
bi yan xie zi 	閉眼寫字	c=1 d=7.7518e-05 t=15065
bi yao 	必要	c=0 d=4.12925e-08 t=15065
bi ye 	畢業	c=1 d=1.02832e-05 t=15065
bi yi qian 	比以前	c=1 d=2.36638e-16 t=15065
bi zhao 	比照	c=1 d=0.00229965 t=15065
bi zhi 	筆直	c=2 d=0.000130837 t=15065
bi zuo tian 	比昨天	c=1 d=1.38568e-14 t=15065
bian 	便	c=0 d=5.76048e-13 t=15065
bian 	變	c=0 d=1.45925e-06 t=15065
bian bie 	辨別	c=0 d=0.0178173 t=15065
bian bie cuo wu 	辨別錯誤	c=1 d=3.99687e-06 t=15065
bian cheng 	編程	c=2 d=0.0175975 t=15065
bian cheng 	變成	c=5 d=0.511729 t=15065
bian cheng le 	變成了	c=0 d=0.1 t=5634
bian cheng le qu 	編程樂趣	c=1 d=0.0368832 t=15065
bian cheng le yi ge ban yuan 	變成了一個半圓	c=1 d=1 t=5635
bian cheng ti 	編程題	c=1 d=9.17233e-14 t=15065
bian cheng yi ge 	變成一個	c=1 d=0.0204453 t=15065
bian cheng yu yan 	編程語言	c=1 d=1.24392e-09 t=15065
bian de 	變得	c=1 d=0.44053 t=15065
bian de ren zhen 	變得認真	c=1 d=0.341298 t=15065
bian de yan hong 	變得豔紅	c=1 d=1 t=5623
bian dong 	變動	c=1 d=0.00032718 t=15065
bian fu hao 	變符號	c=1 d=1.46657e-05 t=15065
bian hao 	編號	c=1 d=4.20179e-06 t=15065
bian hua 	變化	c=4 d=0.00246669 t=15065
bian hua de 	變化的	c=0 d=0.1 t=5414
bian hua le 	變化了	c=1 d=6.6079e-09 t=15065
bian ji 	編輯	c=1 d=0.0149569 t=15065
bian ji ma 	編輯嗎	c=1 d=4.68304e-17 t=15065
bian jie 	邊界	c=0 d=1.06e-10 t=15065
bian le 	變了	c=1 d=0.063609 t=15065
bian li 	遍歷	c=1 d=0.355226 t=15065
bian liang 	變量	c=0 d=0.0113608 t=15065
bian lun 	辯論	c=0 d=0.00160829 t=15065
bian lun gui ze 	辯論規則	c=1 d=0.0161635 t=15065
bian ma 	編碼	c=0 d=0.186946 t=15065
bian wei 	變味	c=1 d=3.14565e-12 t=15065
bian wei 	變爲	c=0 d=0.1 t=5627
bian wei yi ge ju zi 	變爲一個橘子	c=1 d=1 t=5628
bian xie 	編寫	c=3 d=0.079659 t=15065
bian xie de neng li 	編寫的能力	c=1 d=1.47392e-05 t=15065
bian yi qi 	編譯器	c=1 d=9.74117e-16 t=15065
bian yu 	便於	c=1 d=0.00149956 t=15065
bian yu gou tong 	便於溝通	c=1 d=0.0150707 t=15065
bian yu jiang lai 	便於將來	c=1 d=0.00112497 t=15065
bian yu ying yong 	便於應用	c=1 d=1.43431e-08 t=15065
biao 	表	c=3 d=0.0413782 t=15065
biao da shi 	表達式	c=5 d=3.85979e-05 t=15065
biao da shi qu dong 	表達式驅動	c=1 d=3.43125e-05 t=15065
biao ge 	表格	c=1 d=8.78751e-22 t=15065
biao ge li mian 	表格裏面	c=2 d=1.20328e-20 t=15065
biao qian 	標籤	c=1 d=1.79219e-11 t=15065
biao qing 	表情	c=0 d=1.60217e-17 t=15065
biao shi 	標識	c=0 d=8.04733e-05 t=15065
biao shi 	表示	c=6 d=3.72742e-09 t=15065
biao shi fan wei 	表示範圍	c=1 d=7.54474e-10 t=15065
biao shi fu 	標識符	c=1 d=1.25015e-09 t=15065
biao ti 	標題	c=3 d=0.10602 t=15065
biao xian 	表現	c=0 d=0.000184551 t=15065
biao xian chu 	表現出	c=0 d=1.09529e-13 t=15065
biao xian chu lai 	表現出來	c=0 d=0.0121238 t=15065
biao xian chu lai de 	表現出來的	c=1 d=0.121846 t=15065
biao xian xing shi 	表現形式	c=1 d=0.00019258 t=15065
biao zheng 	表徵	c=1 d=0.0722859 t=15065
biao zhu 	標註	c=1 d=2.04788e-05 t=15065
biao zhuan 	標磚	c=0 d=0.0197899 t=15065
biao zhun 	標準	c=2 d=0.213558 t=15065
biao zhun chan pin 	標準產品	c=1 d=6.2598e-05 t=15065
biao zhun cheng xu 	標準程序	c=1 d=0.00406639 t=15065
bie 	別	c=0 d=0.0438762 t=15065
bie de 	別的	c=1 d=1.53063e-09 t=15065
bie de bu men 	別的部門	c=1 d=0.438235 t=15065
bie de shi qing 	別的事情	c=1 d=0.00272578 t=15065
bie hun zai yi qi 	別混在一起	c=1 d=4.76693e-20 t=15065
bie lou le 	別漏了	c=1 d=3.46209e-22 t=15065
bie rang 	別讓	c=1 d=2.27359e-16 t=15065
bie ren 	別人	c=2 d=0.111359 t=15065
bie ren he zi ji 	別人和自己	c=1 d=7.93832e-20 t=15065
bie wang ji 	別忘記	c=1 d=5.52126e-13 t=15065
bie you 	別有	c=0 d=1.15145e-13 t=15065
bie you xin li ya li 	別有心理壓力	c=1 d=1.15722e-12 t=15065
bie zai 	別再	c=1 d=0.105928 t=15065
bing 	並	c=10 d=0.331211 t=15065
bing bu cun zai 	並不存在	c=1 d=0.227638 t=15065
bing bu da 	並不大	c=1 d=8.12959e-06 t=15065
bing bu hui 	並不會	c=0 d=0.0891366 t=15065
bing bu hui jian li xin li biao zheng 	並不會建立心理表徵	c=1 d=0.895834 t=15065
bing dian ji ti jiao 	並點擊提交	c=1 d=1 t=5388
bing fan fu 	並反覆	c=1 d=0.937067 t=15065
bing ji shi ti gong fan kui 	並即使提供反饋	c=1 d=3.9571e-06 t=15065
bing jia 	病假	c=0 d=1.86114e-15 t=15065
bing leng de 	冰冷的	c=0 d=0.1 t=5660
bing leng de zi ran zao wu zhu 	冰冷的自然造物主	c=1 d=1 t=5661
bing mei you 	並沒有	c=1 d=2.66256e-21 t=15065
bing qie 	並且	c=6 d=0.00836423 t=15065
bing qie jia shang le yi xie 	並且加上了一些	c=1 d=2.3721e-15 t=15065
bing qie que bao xue sheng jin ru xia yi ge jie duan yi qian yi jing jian li le bi bei de xin li biao zheng 	並且確保學生進入下一個階段以前已經建立了必備的心理表徵	c=1 d=3.47471e-06 t=15065
bing qing 	並請	c=1 d=6.67204e-05 t=15065
bing ti gong 	並提供	c=1 d=3.21084e-18 t=15065
bing wu 	並無	c=0 d=0.0106505 t=15065
bing wu ci te xing 	並無此特性	c=1 d=0.106992 t=15065
bing wu qu bie 	並無區別	c=1 d=4.65492e-05 t=15065
bing xing 	並行	c=0 d=0.000124951 t=15065
bing xing zou 	並行走	c=1 d=0.00125578 t=15065
bing xun zhao yu ni guo qu suo huo zhi shi zhi jian de lian xi 	並尋找與你過去所獲知識之間的聯繫	c=1 d=1.15106e-08 t=15065
bing yong 	並用	c=0 d=9.65934e-06 t=15065
bing zhao chu 	並找出	c=1 d=6.84327e-09 t=15065
bing zheng qiu guo 	並徵求過	c=1 d=0.00188279 t=15065
bing zi xin 	並自信	c=1 d=8.74311e-09 t=15065
bo 	博	c=1 d=3.30008e-17 t=15065
bo 	播	c=0 d=4.22717e-19 t=15065
bo cai 	菠菜	c=1 d=9.49258e-06 t=15065
bo fang 	播放	c=1 d=2.14046e-12 t=15065
bo hui 	博會	c=0 d=1.27806e-05 t=15065
bo hui 	駁回	c=1 d=0.0413782 t=15065
bo si 	波斯	c=0 d=2.61436e-13 t=15065
bo si wang zi 	波斯王子	c=2 d=5.2681e-12 t=15065
bu 	不	c=2 d=0.248536 t=15065
bu 	步	c=0 d=8.46137e-07 t=15065
bu 	補	c=0 d=0.0145148 t=15065
bu ban dao 	不搬到	c=1 d=0.0144076 t=15065
bu bei 	不被	c=2 d=2.71253e-21 t=15065
bu bi 	不必	c=0 d=8.31387e-06 t=15065
bu bi jin shen 	不必謹慎	c=1 d=8.35555e-05 t=15065
bu bian 	不變	c=1 d=6.22097e-06 t=15065
bu cha 	不差	c=0 d=6.80798e-08 t=15065
bu cha zhe yi tian 	不差這一天	c=1 d=6.84211e-07 t=15065
bu chang 	步長	c=1 d=1.13099e-07 t=15065
bu cheng 	不成	c=0 d=3.11382e-11 t=15065
bu cheng wen ti 	不成問題	c=1 d=1 t=5490
bu chong 	補充	c=3 d=0.0838555 t=15065
bu chong yi xie 	補充一些	c=1 d=5.38861e-21 t=15065
bu chu 	不出	c=0 d=1.04638e-05 t=15065
bu chu xian 	不出現	c=1 d=9.54341e-10 t=15065
bu cun zai 	不存在	c=1 d=2.48898e-22 t=15065
bu cuo 	不錯	c=0 d=0.0246607 t=15065
bu da 	不大	c=0 d=0.0594521 t=15065
bu dao 	不到	c=0 d=0.000108687 t=15065
bu dao wei 	不到位	c=1 d=0.00100779 t=15065
bu dong dian 	不動點	c=1 d=1.52274e-06 t=15065
bu duan 	不斷	c=0 d=0.0101266 t=15065
bu duan cui bu duan cui 	不斷催不斷催	c=1 d=2.00194e-19 t=15065
bu duan de 	不斷的	c=1 d=2.06045e-05 t=15065
bu dui 	不對	c=1 d=0.0097146 t=15065
bu fang bian 	不方便	c=2 d=0.249748 t=15065
bu fen 	部分	c=7 d=0.000993026 t=15065
bu fen pi pei 	部分匹配	c=1 d=9.7362e-10 t=15065
bu gao 	不高	c=1 d=0.0253494 t=15065
bu gen sui 	不跟隨	c=1 d=2.22706e-08 t=15065
bu gou 	不夠	c=8 d=0.0160101 t=15065
bu gou hao 	不夠好	c=2 d=2.03995e-05 t=15065
bu gou xi tong hua 	不夠系統化	c=1 d=8.39886e-07 t=15065
bu guan 	不管	c=0 d=1.81958e-14 t=15065
bu guan ni zuo shen me 	不管你做什麼	c=1 d=1.8287e-13 t=15065
bu guan zen yang 	不管怎樣	c=1 d=7.45039e-09 t=15065
bu guan zhu 	不關注	c=1 d=0.379083 t=15065
bu guan zhu zhe jian shi qing le 	不關注這件事情了	c=1 d=9.40613e-16 t=15065
bu guang shi 	不光是	c=1 d=0.000642592 t=15065
bu guo 	不過	c=18 d=1.06013 t=15065
bu guo fang xiang xiang fan 	不過方向相反	c=1 d=0.852144 t=15065
bu guo ri zi le ma 	不過日子了嗎	c=1 d=0.0695994 t=15065
bu guo wo men 	不過我們	c=1 d=9.8307e-06 t=15065
bu guo xian zai 	不過現在	c=1 d=7.78246e-22 t=15065
bu guo zhe li mian 	不過這裏面	c=1 d=0.00472447 t=15065
bu guo zhe yang zuo 	不過這樣做	c=1 d=6.72971e-18 t=15065
bu han si xiao 	不含四校	c=1 d=3.78491e-12 t=15065
bu hao 	不好	c=0 d=1.67854e-06 t=15065
bu he ge 	不合格	c=1 d=1 t=5721
bu he shi 	不合適	c=1 d=0.00360656 t=15065
bu hu zhi 	不互質	c=1 d=2.15009e-06 t=15065
bu hui 	不會	c=4 d=0.557106 t=15065
bu hui ying xiang 	不會影響	c=1 d=0.00231117 t=15065
bu hui yong 	不會用	c=0 d=2.92641e-16 t=15065
bu hui you da de gai dong le 	不會有大的改動了	c=1 d=0.00118265 t=15065
bu huo 	捕獲	c=2 d=4.04186e-06 t=15065
bu ji 	不及	c=0 d=4.00721e-08 t=15065
bu ji shi 	不及時	c=0 d=3.03539e-05 t=15065
bu jia 	不加	c=0 d=3.3471e-08 t=15065
bu jian 	部件	c=1 d=2.28857e-05 t=15065
bu jian duan 	不間斷	c=1 d=0.13332 t=15065
bu jian le 	不見了	c=1 d=1 t=5640
bu jie chu gui dao 	不接觸軌道	c=1 d=1 t=5457
bu jie shi 	不解釋	c=1 d=0.0081887 t=15065
bu jiu 	不久	c=0 d=0.1 t=5564
bu jiu hao le 	不就好了	c=1 d=2.11441e-15 t=15065
bu jiu jie 	不糾結	c=1 d=1.04205e-14 t=15065
bu ju 	佈局	c=1 d=1.20072e-05 t=15065
bu ju jiao 	不聚焦	c=1 d=0.0150707 t=15065
bu kan 	不看	c=0 d=2.56836e-10 t=15065
bu kan ta 	不看它	c=1 d=2.58123e-09 t=15065
bu ke 	不可	c=0 d=8.27241e-06 t=15065
bu ke guo kuai guo man 	不可過快過慢	c=1 d=8.31387e-05 t=15065
bu ke neng 	不可能	c=1 d=1.13157e-13 t=15065
bu ke qi 	不客氣	c=7 d=0.569139 t=15065
bu lao gu 	不牢固	c=2 d=1.3793e-05 t=15065
bu li hai 	不厲害	c=1 d=0.120633 t=15065
bu liao 	不了	c=2 d=0.0461896 t=15065
bu lv 	步履	c=0 d=1.47593e-22 t=15065
bu lv qing kuai 	步履輕快	c=1 d=1.48333e-21 t=15065
bu man zu 	不滿足	c=1 d=3.77835e-21 t=15065
bu men 	部門	c=1 d=0.0441583 t=15065
bu na me 	不那麼	c=1 d=1.01404e-17 t=15065
bu nan 	不難	c=0 d=0.000276698 t=15065
bu nan yi xie 	不難一些	c=1 d=0.00278085 t=15065
bu neng 	不能	c=13 d=0.893609 t=15065
bu neng fang song 	不能放鬆	c=1 d=1.97214e-19 t=15065
bu neng jian qu 	不能減去	c=1 d=0.467666 t=15065
bu neng kai shi 	不能開始	c=1 d=0.000150733 t=15065
bu neng li pei 	不能理賠	c=1 d=4.3454e-19 t=15065
bu neng pi pei 	不能匹配	c=1 d=4.0783e-08 t=15065
bu neng qu diao ba 	不能去掉吧	c=1 d=0.501576 t=15065
bu pa 	不怕	c=1 d=0.00072265 t=15065
bu pa chui niu 	不怕吹牛	c=1 d=0.00726273 t=15065
bu pi pei 	不匹配	c=1 d=4.02661e-05 t=15065
bu qi zuo yong 	不起作用	c=1 d=0.00332928 t=15065
bu qing 	不清	c=1 d=5.90329e-06 t=15065
bu qing chu 	不清楚	c=0 d=5.75754e-07 t=15065
bu qing xi 	不清晰	c=1 d=0.0149956 t=15065
bu qu fen da xiao xie 	不區分大小寫	c=1 d=3.23198e-07 t=15065
bu que ding 	不確定	c=3 d=2.46816e-19 t=15065
bu rang 	不讓	c=2 d=0.053929 t=15065
bu ren shi 	不認識	c=0 d=0.0423162 t=15065
bu ru 	不如	c=0 d=5.96161e-05 t=15065
bu ru 	步入	c=0 d=0.1 t=5565
bu ru yi qian 	不如以前	c=1 d=0.000599149 t=15065
bu shang 	不上	c=0 d=0.00104099 t=15065
bu shang 	補上	c=1 d=4.88095e-05 t=15065
bu shang lai 	不上來	c=1 d=0.118245 t=15065
bu shang le 	補上了	c=1 d=0.000490542 t=15065
bu shen 	不深	c=1 d=4.10293e-20 t=15065
bu shi 	不是	c=17 d=0.308207 t=15065
bu shi a 	不是啊	c=1 d=1.43158e-15 t=15065
bu shi can yin piao 	不是餐飲票	c=1 d=4.00095e-18 t=15065
bu shi cheng xu de wen ti 	不是程序的問題	c=1 d=0.00690852 t=15065
bu shi cong ni men dian li mai de 	不是從你們店裏買的	c=1 d=0.00267181 t=15065
bu shi fei chang 	不是非常	c=1 d=0.000177774 t=15065
bu shi jiao zuo 	不是叫做	c=1 d=2.4515e-20 t=15065
bu shi shu shou 	不是熟手	c=1 d=4.97346e-19 t=15065
